datum,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti,kumulativni_pocet_testu,test,test_hodo,I_d_cr,I_d
2020-04-19,6746,2283,191,176075,4027,21.12624301,4272,22.41154957
2020-04-20,6900,2484,198,182642,6567,34.45146209,4218,22.12825751
2020-04-21,7033,2681,207,190983,8341,43.75813084,4145,21.74528862
2020-04-22,7132,2947,209,199801,8818,46.26054403,3976,20.85868939
2020-04-23,7187,3161,213,207702,7901,41.44982518,3813,20.00356707
2020-04-24,7273,3381,220,214831,7129,37.39979796,3672,19.26386002
2020-04-25,7352,3501,224,219277,4446,23.32437954,3627,19.02778331
2020-04-26,7404,3574,227,222658,3381,17.73723059,3603,18.90187573
2020-04-27,7445,3733,228,230412,7754,40.67864124,3484,18.27758397
2020-04-28,7504,3856,232,239153,8741,45.85659054,3416,17.92084582
2020-04-29,7579,4009,236,246475,7322,38.41230476,3334,17.49066158
2020-04-30,7682,4165,244,253871,7396,38.80051981,3273,17.17064648
2020-05-01,7737,4260,251,258284,4413,23.15125661,3226,16.92407746
2020-05-02,7755,4349,253,262164,3880,20.35505907,3153,16.54110857
2020-05-03,7781,4400,256,266045,3881,20.36030522,3125,16.39421639
2020-05-04,7819,4525,261,273672,7627,40.01238028,3033,15.91157066
2020-05-05,7896,4662,263,283119,9447,49.56037191,2971,15.5863094
2020-05-06,7974,4804,267,291202,8083,42.40462434,2903,15.22957126
2020-05-07,8031,4927,272,298784,7582,39.77630357,2832,14.85709466
2020-05-08,8077,4976,276,303341,4557,23.9067021,2825,14.82037161
2020-05-09,8095,5038,280,307123,3782,19.84093644,2777,14.56855645
2020-05-10,8123,5073,283,311174,4051,21.25215059,2767,14.51609496
2020-05-11,8176,5182,285,318979,7805,40.94619485,2709,14.2118183
2020-05-12,8221,5254,288,327688,8709,45.68871377,2679,14.05443382
2020-05-13,8269,5337,291,335368,7680,40.29042619,2641,13.85508015
2020-05-14,8351,5378,294,342248,6880,36.0935068,2679,14.05443382
2020-05-15,8406,5379,295,348849,6601,34.62983116,2732,14.33247973
2020-05-16,8455,5711,296,353223,4374,22.94665679,2448,12.84257335
2020-05-17,8475,5754,298,356717,3494,18.33004546,2423,12.71141962
2020-05-18,8586,5806,301,364126,7409,38.86871975,2479,13.00520398
2020-05-19,8647,5833,303,372392,8266,43.36466965,2511,13.17308075
2020-05-20,8721,5836,304,379750,7358,38.60116614,2581,13.5403112
