id,name,weight
0,none (should not appear),0.101133
1,family,0.101133
2,nursary children,0.101133
3,nursary teachers to children,0.101133
4,elementary children,0.101133
5,elementary teachers to children,0.101133
6,highschool children,0.101133
7,highschool teachers to children,0.101133
8,friend network,0.101133
